NameAddress,Category
"Halal Burger Chicken Class Food, 8 rue Sainte Marie des Terreaux",Snacks
"Food Traboule, 22 rue du Boeuf",Food Court
Class Food,Fried Chicken
"simple food, 67 Rue De Marseille",Diner
"China Fast Food, 9 rue de l'Ancienne Préfecture",Chinese
"Chill Art Food, 2 rue Coysevox",Restaurant
Street Food,African
Coffe And Food,Bagels
"Peshawar Express Indian Food Truck, 28 Quai Augagneur",Indian
Harvel's Food&Coffee,Coffee Shop
"Streat Food, 22 Rue De La Charite",Burgers
"126 Food Avenue, 126 Avenue Saxe",Burgers
Food Market,Street Food Gathering
"Food Way, Rue De La Vilette",Sandwiches
"Lyon Street Food Festival, 8 quai Saint Vincent",Festival
"SIMPLE FOOD, 67 rue de Marseille",French
"Pres Food, 56 Rue De La Charités",Asian
"What's That Food, 57 rue de la Thibaudière",Bagels
South Food,Burgers
"BK Food, Rue de la Guillotière",Tacos
"PREET INDIAN FOOD, 58 Cours Tolstoï",Office
"Kan Food, 249 rue Paul Bert",Japanese
So Food,Fast Food
"Daily Happy Food, 234 cours La Fayette",Restaurant
"Jetfood Tandoori, 13 Rue Terme",Indian
Délice Food,Doner
"Asia Food, 43 rue Louis Loucheur",Fast Food
"Indian food center, 280 Rue Paul Bert",Indian
"Bollyfood, 2 Rue Neyret",Indian
Culture Food,Restaurant
FoodJob,Diner
"Foodnight, 3 Rue Pierre Simon Ballanche",Restaurant
160 food,Snacks
"160 Food, 160 rue Commandant Charcot",Fast Food
"Subway, Gare de Lyon Part-Dieu",Sandwiches
Mezzo Di Pasta,Mac & Cheese
"Cherche Midi, 40-44 rue de la Villette",Sandwiches
